node,x,y,latitude,longitude
11895074,445105,4398910.5,39.7383231,-123.640661
11910038,443505,4398906.5,39.7381825,-123.659332
11910185,443652,4398906.5,39.7381922,-123.657617
11922695,443739,4398903.5,39.7381709,-123.656601
11931791,444553,4398901.5,39.7382062,-123.647102
11949022,445220,4398897.5,39.7382133,-123.639318
11985361,444290,4398888.5,39.738072,-123.65017
11988671,443459,4398887.5,39.7380082,-123.659868
11991545,446333,4398887.5,39.738194,-123.626328
11994081,444728,4398886.5,39.7380825,-123.645058
12050833,443506,4398872.5,39.7378762,-123.659318
12124781,447057,4398855.5,39.737951,-123.617877
12159812,444819,4398846.5,39.737728,-123.643993
12163472,444338,4398845.5,39.7376877,-123.649606
12180529,444831,4398841.5,39.7376837,-123.643853
12182895,443056,4398840.5,39.737558,-123.664566
